"","infection","treatment"
"infected.treated.24hr.1","Infected","Dillapiole"
"infected.treated.24hr.2","Infected","Dillapiole"
"infected.treated.24hr.3","Infected","Dillapiole"
"infected.treated.24hr.4","Infected","Dillapiole"
"infected.treated.24hr.5","Infected","Dillapiole"
"infected.untreated.24hr.1","Infected","Vehicle"
"infected.untreated.24hr.2","Infected","Vehicle"
"infected.untreated.24hr.3","Infected","Vehicle"
"infected.untreated.24hr.4","Infected","Vehicle"
"infected.untreated.24hr.5","Infected","Vehicle"
"uninfected.treated.24hr.1","Uninfected","Dillapiole"
"uninfected.treated.24hr.2","Uninfected","Dillapiole"
"uninfected.treated.24hr.3","Uninfected","Dillapiole"
"uninfected.treated.24hr.4","Uninfected","Dillapiole"
"uninfected.treated.24hr.5","Uninfected","Dillapiole"
"uninfected.untreated.24hr.1","Uninfected","Vehicle"
"uninfected.untreated.24hr.2","Uninfected","Vehicle"
"uninfected.untreated.24hr.3","Uninfected","Vehicle"
"uninfected.untreated.24hr.4","Uninfected","Vehicle"
"uninfected.untreated.24hr.5","Uninfected","Vehicle"
